类型,RemakeText,RemakeSpeaker,RemakeChar,RemakeScene,RemakeFunc,RemakeBlock,RemakeFuncType,Remake前驱,Remake后继,MatchType,MyVoiceId,MyCandidates,GtVoiceId,GtText,GtScene,GtFunc,GtBlock,Gt前驱,Gt后继
错配,…………………………,1,003,mp0000,LP_1st_Clock_Tower,_entry,非TK,,Loc_1030:cond_false;Loc_1030:next,唯一,0030021220,0030021220,0010000504|0010001482|0010001576|0010001592|0010010752|0010011313|0010020101|0010020130|0010020136|0010020174|0010020183|0010021677|0010030168|0010031061|0010031896|0010031911|0010031962|0010040658|0010040661|0010051215|0010060631|0010061462|0010070359|0010080476|0010080548|0010091212|0010091232|0010100384|0010110533|0010110896|0010111343|0010120924|0010140767|0010141289|0010160180|0010180685|0010181387|0020000064|0020000068|0020000080|0020000104|0020000107|0020001042|0020001087|0020001229|0020001245|0020001251|0020001261|0020001468|0020001483|0020001565|0020001586|0020001589|0020001593|0020001601|0020010636|0020010948|0020021178|0020021241|0020031025|0020031045|0020031059|0020031897|0020031945|0020041024|0020050361|0020060314|0020061854|0020070351|0020070694|0020071459|0020081311|0020091059|0020091233|0020091254|0020100238|0020110534|0020111344|0020111424|0020111614|0020120894|0030010980|0030020141|0030031162|0040040005|0040040008|0040040027|0050021485|0050021505|0050050697|0050061316|0050070082|0050080776|0050081045|0050090512|0050090718|0060050262|0060050406|0060050458|0060050464|0060050487|0060050504|0060050567|0060050914|0060060338|0060061690|0060061839|0060061847|0060070307|0060100018|0070080230|0070080410|0070080978|0070081028|0070081039|0070081229|0070090636|0070090641|0070091596|0080080644|0090031232|0090031646|0090110889|0100140852|0140070046|0160001228|0270010473|0270021420|0270041512|0270150216|0290031214|0290031645|0290110888|0300110887|0320130121|0330130158|0340010945|0350011363|0390050425|0390050444|0400040876|0400050796|0400061027|0450061180|0450110106|0460061204|0460110107|0470061201|0470110108|0490061607|0530051030|0540071251|0540071284|0550091587|0600020869|0600020889|0620090270|0630121121|0650121089|1120150365|2000081584|2000181225|2030181038|2040180077,…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|……………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|……………………|……………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………,T0100,Function_27,Function_27_6DB3,,
错配,ん、どうしたの２人とも？,0,001,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0010021243,0010021243,0010021221,ん、どうしたの２人とも？,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
错配,エステル、成長したね……,1,002,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0020021244,0020021244,0020021222,エステル、成長したね……,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
错配,これまでの君だったら『しらみ潰しに探せばいーのよ』とか言ってそうなところだけど……,1,002,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0020021245,0020021245,0020021223,これまでの君だったら『しらみ潰しに探せばいーのよ』とか言ってそうなところだけど……,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
错配,まさかエステルの口からそんな言葉が聞けるだなんて……,2,003,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0030021246,0030021246,0030021224,まさかエステルの口からそんな言葉が聞けるだなんて……,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
错配,おねーさん、感無量だわ……,2,003,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0030021247,0030021247,0030021225,おねーさん、感無量だわ……,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
错配,どーいうイミよっ！まったく失礼しちゃうわね！,0,001,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0010021248,0010021248,0010021226,どーいうイミよっ！まったく失礼しちゃうわね！,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
错配,はは、誉めてるんだってば。,1,002,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0020021249,0020021249,0020021227,はは、誉めてるんだってば。,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
错配,確かに、ロレントとは違ってボース地方はかなりの広さよ。,2,003,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0030021250,0030021250,0030021228,確かに、ロレントとは違ってボース地方はかなりの広さよ。,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
错配,何か手掛かりが欲しいところね。,2,003,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0030021251,0030021251,0030021229,何か手掛かりが欲しいところね。,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
错配,手掛かりかぁ……,0,001,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0010021252,0010021252,0010021230,手掛かりかぁ……,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
错配,そうだ、さっき市長邸の前でナイアルたちを見かけたよね？,0,001,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0010021253,0010021253,0010021231,そうだ、さっき市長邸の前でナイアルたちを見かけたよね？,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
错配,記事のネタには困ってたみたいだけど……何か知ってる可能性ないかな？,0,001,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0010021254,0010021254,0010021232,記事のネタには困ってたみたいだけど……何か知ってる可能性ないかな？,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
错配,確かに、僕たちより一足先にボース入りしているはずだからね。,1,002,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0020021255,0020021255,0020021233,確かに、僕たちより一足先にボース入りしているはずだからね。,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
错配,聞いてみる価値はあると思うよ。,1,002,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0020021256,0020021256,0020021234,聞いてみる価値はあると思うよ。,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
错配,あの２人、どこ行ったのかなぁ？,0,001,mp1000_ev,EV_01_19_00,_entry,非TK,,,唯一,0010021257,0010021257,0010021235,あの２人、どこ行ったのかなぁ？,T1101,Function_23,loc_66A4,Function_23_644B:cond_true;Function_23_644B:cond_false,loc_6C47:next
错配,…………………………,1,002,mp0000,LP_1st_Clock_Tower,_entry,非TK,,Loc_1030:cond_false;Loc_1030:next,唯一,0020021219,0020021219,0010000504|0010001482|0010001576|0010001592|0010010752|0010011313|0010020101|0010020130|0010020136|0010020174|0010020183|0010021677|0010030168|0010031061|0010031896|0010031911|0010031962|0010040658|0010040661|0010051215|0010060631|0010061462|0010070359|0010080476|0010080548|0010091212|0010091232|0010100384|0010110533|0010110896|0010111343|0010120924|0010140767|0010141289|0010160180|0010180685|0010181387|0020000064|0020000068|0020000080|0020000104|0020000107|0020001042|0020001087|0020001229|0020001245|0020001251|0020001261|0020001468|0020001483|0020001565|0020001586|0020001589|0020001593|0020001601|0020010636|0020010948|0020021178|0020021241|0020031025|0020031045|0020031059|0020031897|0020031945|0020041024|0020050361|0020060314|0020061854|0020070351|0020070694|0020071459|0020081311|0020091059|0020091233|0020091254|0020100238|0020110534|0020111344|0020111424|0020111614|0020120894|0030010980|0030020141|0030031162|0040040005|0040040008|0040040027|0050021485|0050021505|0050050697|0050061316|0050070082|0050080776|0050081045|0050090512|0050090718|0060050262|0060050406|0060050458|0060050464|0060050487|0060050504|0060050567|0060050914|0060060338|0060061690|0060061839|0060061847|0060070307|0060100018|0070080230|0070080410|0070080978|0070081028|0070081039|0070081229|0070090636|0070090641|0070091596|0080080644|0090031232|0090031646|0090110889|0100140852|0140070046|0160001228|0270010473|0270021420|0270041512|0270150216|0290031214|0290031645|0290110888|0300110887|0320130121|0330130158|0340010945|0350011363|0390050425|0390050444|0400040876|0400050796|0400061027|0450061180|0450110106|0460061204|0460110107|0470061201|0470110108|0490061607|0530051030|0540071251|0540071284|0550091587|0600020869|0600020889|0620090270|0630121121|0650121089|1120150365|2000081584|2000181225|2030181038|2040180077,…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|……………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|……………………|……………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………,T0100,Function_27,Function_27_6DB3,,
错配,…………………………,1,003,mp0000,LP_1st_Clock_Tower,_entry,非TK,,Loc_1030:cond_false;Loc_1030:next,唯一,0030021220,0030021220,0010000504|0010001482|0010001576|0010001592|0010010752|0010011313|0010020101|0010020130|0010020136|0010020174|0010020183|0010021677|0010030168|0010031061|0010031896|0010031911|0010031962|0010040658|0010040661|0010051215|0010060631|0010061462|0010070359|0010080476|0010080548|0010091212|0010091232|0010100384|0010110533|0010110896|0010111343|0010120924|0010140767|0010141289|0010160180|0010180685|0010181387|0020000064|0020000068|0020000080|0020000104|0020000107|0020001042|0020001087|0020001229|0020001245|0020001251|0020001261|0020001468|0020001483|0020001565|0020001586|0020001589|0020001593|0020001601|0020010636|0020010948|0020021178|0020021241|0020031025|0020031045|0020031059|0020031897|0020031945|0020041024|0020050361|0020060314|0020061854|0020070351|0020070694|0020071459|0020081311|0020091059|0020091233|0020091254|0020100238|0020110534|0020111344|0020111424|0020111614|0020120894|0030010980|0030020141|0030031162|0040040005|0040040008|0040040027|0050021485|0050021505|0050050697|0050061316|0050070082|0050080776|0050081045|0050090512|0050090718|0060050262|0060050406|0060050458|0060050464|0060050487|0060050504|0060050567|0060050914|0060060338|0060061690|0060061839|0060061847|0060070307|0060100018|0070080230|0070080410|0070080978|0070081028|0070081039|0070081229|0070090636|0070090641|0070091596|0080080644|0090031232|0090031646|0090110889|0100140852|0140070046|0160001228|0270010473|0270021420|0270041512|0270150216|0290031214|0290031645|0290110888|0300110887|0320130121|0330130158|0340010945|0350011363|0390050425|0390050444|0400040876|0400050796|0400061027|0450061180|0450110106|0460061204|0460110107|0470061201|0470110108|0490061607|0530051030|0540071251|0540071284|0550091587|0600020869|0600020889|0620090270|0630121121|0650121089|1120150365|2000081584|2000181225|2030181038|2040180077,…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|……………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|……………………|……………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………|…………………………,T0100,Function_27,Function_27_6DB3,,
错配,いきなりだと不審に思われるよ。,1,002,mp1000_ev,EV_01_24_00,_entry,非TK,,Loc_67:jump,唯一,0020021545,0020021545,0020021551,いきなりだと不審に思われるよ。,T1200,Function_19,Function_19_589D,,
错配,まずは、ここの村長さんに話を聞いてみた方がいいと思う。,1,002,mp1000_ev,EV_01_24_00,_entry,非TK,,Loc_67:jump,唯一,0020021546,0020021546,0020021552,まずは、ここの村長さんに話を聞いてみた方がいいと思う。,T1200,Function_19,Function_19_589D,,
错配,ん、わかった。,0,001,mp0000_ev,EV_00_30_03,_entry,非TK,,,唯一,0010021553,0010021553,0010001458|0010021213|0010021547|0010040314|0010071465|0010100304,ん、わかった。|ん、わかった。|ん、わかった。|ん、わかった。|ん、わかった。|ん、わかった。,T0401,Function_9,Function_9_643,,
错配,（…………………………）,1,002,mp1000_ev,EV_01_50_00,_entry,非TK,,,唯一,0020031276,0020031276,0060041006,（…………………………）,T2101,Function_3,Function_3_8CA,,loc_AC8:cond_true;loc_B06:jump;loc_AC8:cond_false
错配,でも参ったな……もうすぐ日が暮れる。,1,002,mp1000_ev,EV_02_02_00,Loc_208,非TK,_entry:jump;Loc_207:next,,唯一,0020040110,0020040110,0020040098,でも参ったな……もうすぐ日が暮れる。,T1300,Function_7,loc_1D46,Function_7_1B49:cond_true;Function_7_1B49:cond_false,loc_1E75:next
错配,今日はここに泊めてもらった方がいいかもしれない。,1,002,mp1000_ev,EV_02_02_00,Loc_208,非TK,_entry:jump;Loc_207:next,,唯一,0020040111,0020040111,0020040099,今日はここに泊めてもらった方がいいかもしれない。,T1300,Function_7,loc_1D46,Function_7_1B49:cond_true;Function_7_1B49:cond_false,loc_1E75:next
错配,ちょっと待て。,10588,247,mp1000_ev,EV_01_10_00,_entry,非TK,,Loc_49:jump,唯一,2470020339,2470020339,2470020683,ちょっと待て。,R1300,Function_5,loc_32B,Function_5_321:cond_true;Function_5_321:cond_false,loc_8C9:cond_true;loc_48C:cond_true;loc_521:jump;loc_48C:cond_false
错配,ま、あたしの棒術にかかれば魔獣なんてイチコロよ。,0,001,mp1000_ev,QS102_03_02,_entry,非TK,,Loc_245:cond_false;Loc_245:next,唯一,0010151232,0010151232,0010151233,ま、あたしの棒術にかかれば魔獣なんてイチコロよ。,,,,,
错配,………………………………………………………………,0,001,mp0041_01,EV_00_26_00,Loc_42,非TK,Loc_41:cond_false;Loc_41:next,,唯一,0010190016,0010190016,0050081385|0050081386|0080120185|0160001141|0270110558|0270110579|0330130206|0540070792|1230030665,………………………………………………………………|………………………………………………………………|………………………………………………………………|………………………………………………………………|………………………………………………………………|………………………………………………………………|………………………………………………………………|………………………………………………………………|………………………………………………………………,T3118,Function_5,Function_5_641,,loc_65C:cond_true;loc_67D:jump;loc_65C:cond_false
错配,………………………………………………………………,0,001,mp0041_01,EV_00_26_00,Loc_42,非TK,Loc_41:cond_false;Loc_41:next,,唯一,0010190016,0010190016,0050081385|0050081386|0080120185|0160001141|0270110558|0270110579|0330130206|0540070792|1230030665,………………………………………………………………|………………………………………………………………|………………………………………………………………|………………………………………………………………|………………………………………………………………|………………………………………………………………|………………………………………………………………|………………………………………………………………|………………………………………………………………,T3118,Function_5,Function_5_641,,loc_65C:cond_true;loc_67D:jump;loc_65C:cond_false
错配,うちの薬はよく効きますぞ。,10519,136,mp1010_01,TK_SPENCE,Loc_104,TK,Loc_101:cond_false,Loc_86:cond_false;Loc_111:cond_false;Loc_112:cond_false;Loc_113:jump,唯一,1360150960,1360150960,1360150936,うちの薬はよく効きますぞ。,T1122_1,Function_1,loc_8A5,loc_83B:jump;loc_885:cond_true;loc_885:cond_false,loc_A63:cond_true;loc_A63:cond_false
错配,おお、遊撃士の方々でしたか。,10519,136,mp1010_01,QS105_00_00,Loc_375,非TK,Loc_374:cond_false;Loc_374:next,Loc_376:cond_false;Loc_377:cond_false;Loc_378:jump,唯一,1360150963,1360150963,1360150939,おお、ブレイサーの方々でしたか。,T1122_1,Function_1,loc_8A5,loc_83B:jump;loc_885:cond_true;loc_885:cond_false,loc_A63:cond_true;loc_A63:cond_false
错配,では失礼します。,1,002,mp1010_01,QS105_00_00,Loc_385,非TK,Loc_376:jump;Loc_384:next,Loc_383:next,唯一,0020151075,0020151075,0020071179|0020150989|0020160435|0020180072|0020180345|0020180746|0020180848|0020181439,では失礼します。|では失礼します。|では失礼します。|では失礼します。|では失礼します。|では失礼します。|では失礼します。|では失礼します。,T3120,Function_9,loc_18CE,loc_17C8:jump;loc_183B:next,loc_19A1:next
错配,ここはクローゼさんの通う学園だね。,1,002,mp2000,LP_School_Door,Loc_817,非TK,Loc_813:cond_false,Loc_818:next,唯一,0020050281,0020050281,0020050153,ここはクローゼさんの通う学園だね。,T2500,Function_51,loc_5BDA,loc_5974:cond_true,loc_5E8E:cond_true;loc_5C58:cond_true;loc_5E8B:jump;loc_5C58:cond_false
错配,ここが王立学園……おっきいわねー。,0,001,mp2000,LP_School_Door,Loc_820,非TK,Loc_816:cond_false,Loc_819:next,唯一,0010050289,0010050289,0010040913|0010050283,ここが王立学園……おっきいわねー。|ここが王立学園……おっきいわねー。,T2500,Function_51,loc_6017,loc_5E8E:cond_true;loc_5E8E:cond_false,loc_604E:next
