RemakeVoiceText,Speaker,SpeakerChar,MyVoiceId,Candidates,MatchType,Source,SpeakerMatch
エステル、ヨシュア㈱すっごく活躍してるって聞いたよ。,10000,,,,无候选,,
えっと、パーゼル農園で魔物を追いはらって……,10000,,,,无候选,,
鉱山では鉱員さんを助けて……,10000,,,,无候选,,
今度は記者さんたちを護衛したんでしょ？,10000,,,,无候选,,
よ、よく知ってるね。,1,002,,,无候选,,
よ、よく知ってるね。,1,002,,,无候选,,
うん、まーね。,10000,,,,无候选,,
記者さんたちクルーセを雇ってくれればいいのに。,10000,,,,无候选,,
クルーセ、絶対記者に向いてると思うの。,10000,,,,无候选,,
（うーん、  確かに向いてるかも。）,0,001,,,无候选,,
（うーん、  確かに向いてるかも。）,0,001,,,无候选,,
（はは……）,1,002,,,无候选,,
（はは……）,1,002,,,无候选,,
記者さんたちクルーセを雇ってくれればいいのに。,10000,,,,无候选,,
クルーセ、絶対記者に向いてると思うの。,10000,,,,无候选,,
この前、市長さんがギルドから出てくるのを見たわ。,10000,,,,无候选,,
あと、最近リノンさんとこのお婆さんを街でよく見かけるのよね。,10000,,,,无候选,,
アヤしいわね……,10000,,,,无候选,,
でも、どっちのヤマを追うかクルーセ悩んじゃう。,10000,,,,无候选,,
ああ、事件がクルーセを呼んでるわ。,10000,,,,无候选,,
クルーセの情報によればパーゼル農園のほうで何か事件があったみたいね。,10000,,,,无候选,,
アイナさんに突撃レポートしちゃおっかな……,10000,,,,无候选,,
ね、カシウスさんどこか行っちゃったの？,10000,,,,无候选,,
うん、仕事の都合でしばらく帰ってこないみたいよ。,0,001,,,无候选,,
うん、仕事の都合でしばらく帰ってこないみたいよ。,0,001,,,无候选,,
しゅん、そっかー……,10000,,,,无候选,,
カシウスさんもクルーセ注目の人なのにな。ちょっと残念……,10000,,,,无候选,,
クルーセちゃん……,0,001,,,无候选,,
クルーセちゃん……,0,001,,,无候选,,
カシウスさんは正攻法で磨いても光る大人の男だと思うけどー。,10000,,,,无候选,,
それを敢えて崩して独特のダンディズムを表現してるところがまたたまらなく憎いのよねー。,10000,,,,无候选,,
きっと広い層にウケる人のはずよ。うん、カシウスさんオッケー！,10000,,,,无候选,,
……ね、クルーセちゃんって何歳だっけ？,0,001,,,无候选,,
……ね、クルーセちゃんって何歳だっけ？,0,001,,,无候选,,
はは、おマセさんだよね。,1,002,,,无候选,,
はは、おマセさんだよね。,1,002,,,无候选,,
あーあ、カシウスさんいないと話題がさみしいなー。,10000,,,,无候选,,
エステルとヨシュア早速活躍したって本当？,10000,,,,无候选,,
さっすがクルーセがちゅーもくしてる遊撃士ね。,10000,,,,无候选,,
えへ、どんどん活躍してね。,10000,,,,无候选,,
クルーセ、２人のファンでもあるんだから。,10000,,,,无候选,,
お互いの背中を守り合い危機から脱出を試みる２人の遊撃士……,10000,,,,无候选,,
ああ、そこから愛が育まれるのもアリね。,10000,,,,无候选,,
素敵……,10000,,,,无候选,,
えへ、どんどん活躍してね。,10000,,,,无候选,,
クルーセ、２人のファンでもあるんだから。,10000,,,,无候选,,
ね、ね、エステルとヨシュア遊撃士になれたって本当？,10000,,,,无候选,,
相変わらず早耳ねー。クルーセちゃん。,0,001,,,无候选,,
相変わらず早耳ねー。クルーセちゃん。,0,001,,,无候选,,
さっすがクルーセが見込んだ２人なのー。,10000,,,,无候选,,
これからバリバリ活躍するんでしょ？,10000,,,,无候选,,
大人の魅力を持つシェラザードさんもクルーセ好きだけどー。,10000,,,,无候选,,
エステルとヨシュアもひいきしちゃうんだから。,10000,,,,无候选,,
は、はぁ……,0,001,,,无候选,,
は、はぁ……,0,001,,,无候选,,
あ、ありがとう。,1,002,,,无候选,,
あ、ありがとう。,1,002,,,无候选,,
お互いの背中を守り合い危機から脱出を試みる２人の遊撃士……,10000,,,,无候选,,
素敵……,10000,,,,无候选,,
いよいよドラマの始まりね。,10000,,,,无候选,,
クルーセ、期待しちゃう★,10000,,,,无候选,,
お互いの背中を守り合い危機から脱出を試みる２人の遊撃士……,10000,,,,无候选,,
ああ、そこから愛が育まれるのもアリね。,10000,,,,无候选,,
素敵……,10000,,,,无候选,,
最近、お義父さんが仕事のアドバイスをしてくれるんだ。,10011,,,,无候选,,
長い間林業をやってきただけあって勉強になることが多いよ。,10011,,,,无候选,,
自分はずいぶん思い上がっていたんだなぁ。,10011,,,,无候选,,
今となっちゃ恥ずかしいよ。,10011,,,,无候选,,
自分はずいぶん思い上がっていたんだなぁ。,10011,,,,无候选,,
今となっちゃ恥ずかしいよ。,10011,,,,无候选,,
森の仕事も順調で材木の売り上げも伸びているのに……,10011,,,,无候选,,
どうしてだろう……,10011,,,,无候选,,
お義父さんはなかなか僕を認めてくれないんだ。,10011,,,,无候选,,
森の仕事も順調で材木の売り上げも伸びているのに……,10011,,,,无候选,,
お義父さんはなかなか僕を認めてくれないんだ。,10011,,,,无候选,,
材木がたくさん売れて家族を支えていく自信がふつふつと湧いてきたよ。,10011,,,,无候选,,
仕事のほうも順調だし、もう、かつてのお義父さんに負けない働きをしてると思うな。,10011,,,,无候选,,
ボースの商人から材木の追加発注をもらったんだ。,10011,,,,无候选,,
頑張って他の地方にも木材をどんどん売るぞ！,10011,,,,无候选,,
妻と一緒になるためお義父さんから林業を受け継いだんだけど……,10011,,,,无候选,,
最近ようやくこの仕事に慣れてきたよ。,10011,,,,无候选,,
それにやりがいも出てきた気がするんだ。,10011,,,,无候选,,
妻と一緒になるためお義父さんから林業を受け継いだんだけど……,10011,,,,无候选,,
最近ようやくこの仕事に慣れてきたよ。,10011,,,,无候选,,
注文を受けた材木をそろえるにはもう少しかかりそうだなぁ。,10011,,,,无候选,,
妻のためにも、お義父さんに認めてもらうためにも頑張らなきゃ。,10011,,,,无候选,,
妻のためにも、お義父さんに認めてもらうためにも頑張らなきゃ。,10011,,,,无候选,,
ふぅ、今から仕事で南にあるミストヴァルトの森へ向かうところなんだ。,10011,,,,无候选,,
ボースから材木を買い付けにきた商人がいてね。,10011,,,,无候选,,
発注を受けた分の材木を準備しなきゃ。,10011,,,,无候选,,
ボースから材木を買い付けにきた商人がいてね。,10011,,,,无候选,,
発注を受けた分の材木を準備しなきゃ。,10011,,,,无候选,,
悩んだけど、彼と２人で女王生誕祭に行くことにしたの。,10069,,,,无候选,,
ママには友達と行くことにしてあるわ。,10069,,,,无候选,,
ごめんなさい、ママ……それでもエアリーは彼と行きたいの。,10069,,,,无候选,,
王都って、すっごい都会なんでしょ？,10069,,,,无候选,,
不夜城と謳われる街の灯火の煌めき……湖畔に佇む優美なグランセル城……,10069,,,,无候选,,
絶えることのない人々の往来……軒を連ねる様々な店の賑わい……そして生誕祭のパレードや花火……,10069,,,,无候选,,
考えただけで刺激的だわ。ドキドキするわね。,10069,,,,无候选,,
そこで彼と……,10069,,,,无候选,,
きゃー！！,10069,,,,无候选,,
ああ、胸が高鳴るわ……,10069,,,,无候选,,
彼が王都の生誕祭を見に行こうって誘ってくれたの。,10069,,,,无候选,,
きゃ、困っちゃうわ。お母さんに何て言えばいいの？,10069,,,,无候选,,
旅行先でプロポーズなんかされちゃったりして！,10069,,,,无候选,,
彼が王都の生誕祭を見に行こうって誘ってくれたの。,10069,,,,无候选,,
旅行先でプロポーズなんかされちゃったりして！,10069,,,,无候选,,
彼に毎日会えるのは嬉しいんだけど……,10069,,,,无候选,,
デート先がそろそろマンネリ化してきたわね。,10069,,,,无候选,,
彼、とても優しいの。いつまでも彼の１番でいたいわ。,10069,,,,无候选,,
ふふ、私たちつきあい始めたばかりなのよ。,10069,,,,无候选,,
今は何もかも輝いて見えるわ……,10069,,,,无候选,,
ああ、世界ってこんなに美しかったかしら。,10069,,,,无候选,,
（うーん、２人の世界ねぇ……）,0,001,,,无候选,,
（うーん、２人の世界ねぇ……）,0,001,,,无候选,,
ふふ、今は何もかもが新鮮。何もかもが輝いて見えるわ。,10069,,,,无候选,,
ああ、世界ってこんなに美しかったかしら。,10069,,,,无候选,,
星たちが輝き始めた頃、ここで彼は言ってくれたの。,10069,,,,无候选,,
私とつきあって欲しいって……,10069,,,,无候选,,
きゃっ❤,10069,,,,无候选,,
これこそ私の求めていたシチュエーションだわ！,10069,,,,无候选,,
（うーん、確かに　悪くない場所だけど……）,0,001,,,无候选,,
（うーん、確かに　悪くない場所だけど……）,0,001,,,无候选,,
（このために下のハシゴ、　２人で登ったのかなぁ？）,0,001,,,无候选,,
（このために下のハシゴ、　２人で登ったのかなぁ？）,0,001,,,无候选,,
（はは……そうみたいだね。）,1,002,,,无候选,,
（はは……そうみたいだね。）,1,002,,,无候选,,
ふふ……,10069,,,,无候选,,
し・あ・わ・せ❤,10069,,,,无候选,,
ああ、困ったわ。,10069,,,,无候选,,
彼、私の好みだし、申し出を受けたいんだけど……,10069,,,,无候选,,
こんな場所じゃ、私の理想のシチュエーションじゃないのよ～。,10069,,,,无候选,,
うーん……場所とかって、そんなに大事なことなのかな？,0,001,,,无候选,,
うーん……場所とかって、そんなに大事なことなのかな？,0,001,,,无候选,,
もちろん！,10069,,,,无候选,,
一生の思い出に残るかもしれないのよ？,10069,,,,无候选,,
私がおばあちゃんになって、死ぬ間際に頭に思い浮かぶ場所かもしれないのよ？,10069,,,,无候选,,
それがこんな路地裏じゃ納得いかないわ。,10069,,,,无候选,,
はは……こういうことは当事者の気持ちの問題だからね。,1,002,,,无候选,,
はは……こういうことは当事者の気持ちの問題だからね。,1,002,,,无候选,,
彼、何度も熱心に告白してくれるんだけど……シチュエーションがね～。,10069,,,,无候选,,
もうちょっと気の利いたところで言ってくれればいいのにな。,10069,,,,无候选,,
今日は、いいお天気で気持ちがいいわ。,10069,,,,无候选,,
何か良いこと起こりそうな予感がするの。,10069,,,,无候选,,
やったー！,10070,,,,无候选,,
彼女を女王生誕祭に誘ってオッケーもらえたんだ。,10070,,,,无候选,,
バイトしてお金貯めなくちゃ！,10070,,,,无候选,,
これから頑張ってお金貯めなくちゃな……,10070,,,,无候选,,
ちょっと先の話だけど王都で女王生誕祭があるんだ。,10070,,,,无候选,,
武術大会まで開かれて毎年、それはにぎやからしいよ。,10070,,,,无候选,,
その生誕祭に彼女を誘ったんだ。,10070,,,,无候选,,
王都の生誕祭に彼女を誘ったんだ。,10070,,,,无候选,,
ふふふ、実はそこで彼女に伝えたいことがあるんだよ。,10070,,,,无候选,,
彼女とは毎日会って話したりお茶飲んだりしてるよ。,10070,,,,无候选,,
でも、ロレントだけじゃデートの場所も限られてるんだよね。,10070,,,,无候选,,
ああ、幸せだなぁ。,10070,,,,无候选,,
こうして毎日好きな人と過ごせるなんて。,10070,,,,无候选,,
うふふふ、今日は初デートなんだ。,10070,,,,无候选,,
やったー！,10070,,,,无候选,,
聞いてくれ！,10070,,,,无候选,,
彼女につき合ってもらえることになったんだ！,10070,,,,无候选,,
ああ、女神様……今日１日頑張ったかいがありました。,10070,,,,无候选,,
（い、１日って……）,0,001,,,无候选,,
（い、１日って……）,0,001,,,无候选,,
（まさに根性の勝利だね。）,1,002,,,无候选,,
（まさに根性の勝利だね。）,1,002,,,无候选,,
ああ、女神様……今日１日頑張ったかいがありました。,10070,,,,无候选,,
ああ、朝から何度も告白してるけど受け入れてもらえないんだ。,10070,,,,无候选,,
嫌われてるワケじゃないみたいなんだけど……,10070,,,,无候选,,
何がいけないのかなぁ。,10070,,,,无候选,,
ああ、朝から何度も告白してるけど受け入れてもらえないんだ。,10070,,,,无候选,,
うーん……あの娘、かわいいなぁ。,10070,,,,无候选,,
勇気出して、声かけてみようかなぁ。,10070,,,,无候选,,
見つけてくれてありがとな。正直、助かったぜ。,10076,106,,,无候选,,
しっかし、船が空飛ぶような町でさ、よく小物売りなんてやってられるよな。,10076,106,,,无候选,,
オレ、マジで感心するよ。おフクロの無神経さに。,10076,106,,,无候选,,
船が空飛ぶような町でさ、よく小物売りなんてやってられるよな。,10076,106,,,无候选,,
オレ、マジで感心するよ。おフクロの無神経さに。,10076,106,,,无候选,,
もし光る石を見っけたらさ、オレに声かけてよ。この辺いるし。,10076,106,1060150028,1060150028,唯一,script,对应
さて、雑貨屋は調べたし……あとはどこだろ？,10076,106,1060150029,1060150029,唯一,script,对应
ちくしょう、どこいっちまったんだろ。,10076,106,,,无候选,,
怪しいとこはもうぜんぶ調べたんだけどな……,10076,106,,,无候选,,
おっかしいな……どうして見つかんないんだ？,10076,106,,,无候选,,
あ～、いらいらする。,10076,106,,,无候选,,
へ～、この辺って色々とガラクタがあるな。,10076,106,1060150005,1060150005,唯一,additional,对应
なんか面白いもんでも落ちてないかな。,10076,106,,,无候选,,
はあ……,10077,,,,无候选,,
わざわざ足運んだのにとんだ骨折り損だったよ。,10077,,,,无候选,,
買い手は付かないし、思ったより商店もセコイし……,10077,,,,无候选,,
やっぱりしょせん、田舎は田舎ってことかね。,10077,,,,无候选,,
（むかっ。）,0,001,0010150740,0010150740,唯一,script,对应
（むかっ。）,0,001,0010150740,0010150740,唯一,script,对应
……ん？なに、あんたたち。,10077,,,,无候选,,
まあ、誰だっていいさ。安くしとくよ、何か買っていきな。,10077,,,,无候选,,
え゛……？,0,001,,,无候选,,
え゛……？,0,001,,,无候选,,
この木彫りの小物なんてどうだい？,10077,,,,无候选,,
ここまで細工が細かいのはカルバードじゃないと手に入らないよ。,10077,,,,无候选,,
カルバードって、え～っと、お隣の国だっけ……？,0,001,,,无候选,,
カルバードって、え～っと、お隣の国だっけ……？,0,001,,,无候选,,
カルバード共和国はリベール王国の東にある国だよ。,1,002,,,无候选,,
カルバード共和国はリベール王国の東にある国だよ。,1,002,,,无候选,,
も、もちろん分かってるわよ。,0,001,,,无候选,,
も、もちろん分かってるわよ。,0,001,,,无候选,,
でも、カルバード製の民芸品か……,1,002,,,无候选,,
でも、カルバード製の民芸品か……,1,002,,,无候选,,
王都に持っていけばきっと喜ばれると思いますけど。,1,002,,,无候选,,
王都に持っていけばきっと喜ばれると思いますけど。,1,002,,,无候选,,
はあ……やっぱりそう？,10077,,,,无候选,,
少し田舎の方がいいかと思ったんだけどちょっと田舎すぎたね。,10077,,,,无候选,,
（むかむかっ。）,0,001,,,无候选,,
（むかむかっ。）,0,001,,,无候选,,
仕方ない、もうしばらくしたらグランセルに行ってみるよ。,10077,,,,无候选,,
……それにしてもうちのカレルは何してるんだか。,10077,,,,无候选,,
ちょっと手伝ったかと思ったらまたうろちょろしてるよ。,10077,,,,无候选,,
仕方ない、しばらくしたらグランセルに行ってみるか……,10077,,,,无候选,,
それにしてもウチのバカ息子はほんと役に立たない子だね。,10077,,,,无候选,,
ちょっと手伝ったかと思ったらもうどっかにいっちまったよ。,10077,,,,无候选,,
田舎町だと思ってたけど、けっこう商店の品揃えはいいじゃないか。,10077,,,,无候选,,
オーブメントで潤ってるリベール王国はやっぱり違うね。,10077,,,,无候选,,
ふう、明日からはよほど気合を入れて商いをしないとまずいね。,10077,,,,无候选,,
田舎町だと思ってたけど、けっこう商店の品揃えはいいじゃないか。,10077,,,,无候选,,
ふう、明日からはよほど気合を入れて商いをしないとまずいね。,10077,,,,无候选,,
うふふ～～今日もうたたね日和ねえ～～。,10001,109,,,无候选,,
気持ちよくお昼寝ができそうだわ～～。,10001,109,,,无候选,,
にやぁおお～ん。,10002,,,,无候选,,
（あ……っ！）,0,001,0010150667,0010150667,唯一,script,对应
（猫がもどってきてる。）,0,001,0010150668,0010150668,唯一,script,对应
…………,10001,109,1090150664,1090150664,唯一,script,对应
……むにゃむにゃ。,10001,109,1090150665,1090150665,唯一,script,对应
……ごろごろごろごろ。,10002,,,,无候选,,
…………,10001,109,1090150664,1090150664,唯一,script,对应
……むにゃむにゃ。,10001,109,1090150665,1090150665,唯一,script,对应
……ごろごろごろごろ。,10002,,,,无候选,,
…………,10001,109,1090150664,1090150664,唯一,script,对应
……むにゃむにゃ。,10001,109,1090150665,1090150665,唯一,script,对应
……ごろごろごろごろ。,10002,,,,无候选,,
あ……っ！猫がもどってきたの？,0,001,,,无候选,,
あ……っ！猫がもどってきたの？,0,001,,,无候选,,
あら～～、ブレイサーさんじゃない～～。,10001,109,,,无候选,,
アリルちゃんったら自分でもどってきたのよ～～。,10001,109,,,无候选,,
うふふ～～とってもおりこうでしょ～～。,10001,109,,,无候选,,
にゃ～～お。,10002,,,,无候选,,
ブレイサーさん、ごめんなさいね～～。,10001,109,,,无候选,,
アリルちゃんったら自分でもどってきたのよ～～。,10001,109,,,无候选,,
にゃ～～お。,10002,,,,无候选,,
もう～～アリルちゃんたらどこ行ってたの～～？,10001,109,,,无候选,,
心配してたんだからね～～。,10001,109,,,无候选,,
みゃ～～ご。,10002,,,,无候选,,
あら～～ブレイサー君じゃない～～。,10001,109,,,无候选,,
うふふ～㈱おばさんと一緒にお昼寝しない～～？,10001,109,,,无候选,,
……遠慮します。,1,002,,,无候选,,
……遠慮します。,1,002,,,无候选,,
あら～～ブレイサー君じゃない～～。,10001,109,,,无候选,,
うふふ～㈱おばさんと一緒にお昼寝しない～～？,10001,109,,,无候选,,
おばさんはここで待ってるから～。,10001,109,1090150651,1090150651,唯一,script,对应
アリルちゃんのことよろしくね～、ブレイサーさん。,10001,109,1090150652,1090150652,唯一,script,对应
アリルちゃんは見つかった～？,10001,109,1090150653,1090150653,唯一,script,对应
うん！　見つけたよ。,0,001,0010150654,0010150654,唯一,script,对应
うん！　見つけたよ。,0,001,0010150654,0010150654,唯一,script,对应
……逃げられちゃったけど。,0,001,0010150655,0010150655,唯一,script,对应
……逃げられちゃったけど。,0,001,0010150655,0010150655,唯一,script,对应
あらそうなの～？,10001,109,1090150656,1090150656,唯一,script,对应
おかしいわね～、人見知りなんてしない子なのに～。,10001,109,1090150657,1090150657,唯一,script,对应
おばさんはここで待ってるから、よろしくね～、ブレイサーさん。,10001,109,1090150658,1090150658,唯一,script,对应
逃げるなんておかしいわね～。人見知りなんてしない子なのに～。,10001,109,1090150659,1090150659,唯一,script,对应
おばさんはここで待ってるからよろしくね～、ブレイサーさん。,10001,109,1090150660,1090150660,唯一,script,对应
これからは、お昼寝もほどほどにしなきゃだめね～。,10001,109,,,无候选,,
ね～～、アリルちゃ～～ん❤,10001,109,,,无候选,,
にやぁおお～ん。,10002,,,,无候选,,
もう～～、困った子ねえ～。,10001,109,,,无候选,,
どこでおネンネしてるのかしら～。,10001,109,,,无候选,,
…………,10001,109,1090150664,1090150664,唯一,script,对应
……むにゃむにゃ。,10001,109,1090150665,1090150665,唯一,script,对应
……ごろごろごろごろ。,10002,,,,无候选,,
うふふふ、今日もぽかぽかね～～。,10001,109,,,无候选,,
いいお昼寝ができそうだわ～～。,10001,109,,,无候选,,
にやゃゃあ～。,10002,,,,无候选,,
昨日、南の方角から何か飛び立つのが見えたんじゃ。,10028,,,,无候选,,
鳥にしては大きかったのう。一体何だったんじゃろうか？,10028,,,,无候选,,
年寄りの目じゃから何かの見間違いかもしれんのう。,10028,,,,无候选,,
昨日、南の方角から何か飛び立つのが見えたんじゃ。,10028,,,,无候选,,
鳥にしては大きかったのう。一体何だったんじゃろうか？,10028,,,,无候选,,
毎日ここのてっぺんから外を眺めるのはなかなか楽しいぞ。,10028,,,,无候选,,
季節の移り変わりや街に暮らす人々の生活……,10028,,,,无候选,,
少しずつじゃが様々な変化が目に映るものじゃ。,10028,,,,无候选,,
最近はブルーム婆さんがしきりに出かけるのを見かけるわい。,10028,,,,无候选,,
ふぁふぁ、何をやっとるんだかのう。,10028,,,,无候选,,
毎日ここのてっぺんから外を眺めるのはなかなか楽しいぞ。,10028,,,,无候选,,
少しずつじゃが様々な変化が目に映るものじゃ。,10028,,,,无候选,,
この時計台は戦後、メルダースのせがれがオーブメントを使って復元したんじゃ。,10028,,,,无候选,,
わしがさわれる部分が減って少しさみしい気もするがのう……,10028,,,,无候选,,
ふぁふぁ、これも時代が変わったということじゃろうな。,10028,,,,无候选,,
この時計台は戦後、メルダースのせがれがオーブメントを使って復元したんじゃ。,10028,,,,无候选,,
１０年前国境を突破した帝国軍はここロレントを包囲したんじゃ。,10028,,,,无候选,,
そして市民に降伏を促すためあの時計塔を砲撃した……,10028,,,,无候选,,
………………,0,001,0010160218,0010160218|0010001434,多候选,script|script,对应
………………,0,001,0010160218,0010160218|0010001434,多候选,script|script,对应
む……すまん。思い出させてしまったか……,10028,,,,无候选,,
ううん、いいの……,0,001,,,无候选,,
ううん、いいの……,0,001,,,无候选,,
……？,1,002,0020090786,0020090786|0020020105,多候选,script|script,对应
……？,1,002,0020090786,0020090786|0020020105,多候选,script|script,对应
今でこそ街も時計塔も元通りじゃがな……,10028,,,,无候选,,
目に見えない傷跡は幾らでもあるわい。,10028,,,,无候选,,
さて、今日もさっそく点検と整備を始めるかの。,10028,,,,无候选,,
この塔はロレントの象徴であり、歴史でありそして、わしの誇りじゃよ。,10028,,,,无候选,,
この塔はロレントの象徴であり、歴史でありそして、わしの誇りじゃよ。,10028,,,,无候选,,
あいかわらず良い響きじゃて。,10028,,,,无候选,,
わしゃ、この塔の鐘の音が大好きでな。,10028,,,,无候选,,
この鐘は時刻を報せておるだけではない。,10028,,,,无候选,,
ロレントの歴史をも刻んでおるのじゃ。,10028,,,,无候选,,
この鐘は時刻を報せておるだけではない。,10028,,,,无候选,,
ロレントの歴史をも刻んでおるのじゃ。,10028,,,,无候选,,
パンデュじいさん！,0,001,,,无候选,,
パンデュじいさん！,0,001,,,无候选,,
ん？　その声は……,10028,,,,无候选,,
……ふぁふぁふぁっ！,10028,,,,无候选,,
誰かと思えばカシウスんとこのやんちゃ娘と賢い坊主じゃないか。,10028,,,,无候选,,
最近遊びに来ないと思ったらいつの間にそんなにデカくなったんじゃ？,10028,,,,无候选,,
パンデュじいさんは相変わらずいつもここにいるんですか？,1,002,,,无候选,,
パンデュじいさんは相変わらずいつもここにいるんですか？,1,002,,,无候选,,
ここはもうワシの家みたいなもんじゃからのう。,10028,,,,无候选,,
死ぬまで時計守を続けながらここで過ごすつもりじゃわい。,10028,,,,无候选,,
ここはもうワシの家みたいなもんじゃからのう。,10028,,,,无候选,,
死ぬまで、時計守を続けながらここで過ごすつもりじゃわい。,10028,,,,无候选,,
お父さんが早速メニューに加えてくれたみたいなんだ。,151,,,,无候选,,
